,body,target,company
16,"['holler', 'gram', 'for', 'ipad', 'on', 'the', 'itunes', 'app', 'store', 'httptcokfnfq', 'via', 'marc_is_ken', 'sxsw']",1,apple
17,"['i', 'just', 'noticed', 'dst', 'is', 'coming', 'this', 'weekend', 'how', 'many', 'iphone', 'user', 'will', 'be', 'an', 'hour', 'late', 'at', 'sxsw', 'come', 'sunday', 'morning', 'sxsw', 'iphone']",0,apple
18,"['just', 'added', 'my', 'sxsw', 'flight', 'to', 'planely', 'matching', 'people', 'on', 'planesairports', 'also', 'downloaded', 'the', 'klm', 'iphone', 'app', 'nicely', 'done']",2,apple
19,"['must', 'have', 'sxsw', 'app', 'rt', 'malbonster', 'lovely', 'review', 'from', 'forbes', 'for', 'our', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'httptcoggzypv']",2,apple
20,"['need', 'to', 'buy', 'an', 'ipad', 'while', 'im', 'in', 'austin', 'at', 'sxsw', 'not', 'sure', 'if', 'ill', 'need', 'to', 'q', 'up', 'at', 'an', 'austin', 'apple', 'store']",2,apple
21,"['oh', 'my', 'god', 'the', 'sxsw', 'app', 'for', 'ipad', 'is', 'pure', 'unadulterated', 'awesome', 'it', 'easier', 'to', 'browse', 'event', 'on', 'ipad', 'than', 'on', 'the', 'website']",2,apple
22,"['okay', 'this', 'is', 'really', 'it', 'yay', 'new', 'foursquare', 'for', 'android', 'app', 'kthxbai', 'sxsw']",2,google
23,"['photo', 'just', 'installed', 'the', 'sxsw', 'iphone', 'app', 'which', 'is', 'really', 'nice', 'httptumblrcomxtpiav']",2,apple
24,"['really', 'enjoying', 'the', 'change', 'in', 'gowalla', 'for', 'android', 'looking', 'forward', 'to', 'seeing', 'what', 'else', 'they', 'amp', 'foursquare', 'have', 'up', 'their', 'sleeve', 'at', 'sxsw']",2,google
25,"['rt', 'laurieshook', 'im', 'looking', 'forward', 'to', 'the', 'smcdallas', 'pre', 'sxsw', 'party', 'wed', 'and', 'hoping', 'ill', 'win', 'an', 'ipad', 'resulting', 'from', 'my', 'shameless', 'promotion', 'chevysmc']",2,apple
26,"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'by', 'madebymany', 'httpbitlyhtdfim', 'hollergram', 'sxsw', 'via', 'michaelpiliero']",2,apple
27,"['someone', 'started', 'an', 'austin', 'partnerhub', 'group', 'in', 'google', 'group', 'presxsw', 'great', 'idea']",2,google
28,"['the', 'new', 'sq', 'look', 'like', 'it', 'is', 'going', 'to', 'rock', 'update', 'for', 'iphone', 'and', 'android', 'should', 'push', 'tonight', 'httpbitlyetsbzk', 'sxsw', 'keepaustinweird']",2,apple
29,"['they', 'were', 'right', 'the', 'gowalla', 'app', 'on', 'android', 'is', 'sweeeeet', 'nice', 'job', 'by', 'the', 'team', 'there', 'sxsw']",2,google
30,"['very', 'smart', 'from', 'madebymany', 'hollergram', 'ipad', 'app', 'for', 'sxsw', 'httptcoaxvwc', 'may', 'leave', 'my', 'vuvuzela', 'at', 'home', 'now']",2,apple
31,"['you', 'must', 'have', 'this', 'app', 'for', 'your', 'ipad', 'if', 'you', 'are', 'going', 'to', 'sxsw', 'httpitunesapplecomusapphollergramidmt', 'hollergram']",2,apple
32,"['attn', 'all', 'sxsw', 'frineds', 'mention', 'register', 'for', 'gdgtlive', 'and', 'see', 'cobra', 'iradar', 'for', 'android', 'link']",1,google
33,"['anyone', 'at', 'sxsw', 'want', 'to', 'sell', 'their', 'old', 'ipad']",1,apple
34,"['anyone', 'at', 'sxsw', 'who', 'bought', 'the', 'new', 'ipad', 'want', 'to', 'sell', 'their', 'older', 'ipad', 'to', 'me']",1,apple
35,"['at', 'sxsw', 'oooh', 'rt', 'mention', 'google', 'to', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link']",1,google
36,"['the', 'best', 'rt', 'mention', 'ha', 'first', 'in', 'line', 'for', 'ipad', 'at', 'sxsw', 'quotpopupquot', 'apple', 'store', 'wa', 'an', 'event', 'planner', 'eventprofs', 'pcma', 'engage']",2,apple
37,"['spin', 'play', 'a', 'new', 'concept', 'in', 'music', 'discovery', 'for', 'your', 'ipad', 'from', 'mention', 'amp', 'spincom', 'link', 'itunes', 'sxsw', 'mention']",1,apple
38,"['mention', 'false', 'alarm', 'google', 'circle', 'not', 'coming', 'nowытand', 'probably', 'not', 'ever', 'link', 'google', 'circle', 'social', 'sxsw']",0,google
39,"['vatornews', 'google', 'and', 'apple', 'force', 'print', 'medium', 'to', 'evolve', 'link', 'sxsw']",1,apple
40,"['mention', 'great', 'weather', 'to', 'greet', 'you', 'for', 'sxsw', 'still', 'need', 'a', 'sweater', 'at', 'nightapple', 'putting', 'up', 'quotflash', 'storequot', 'downtown', 'to', 'sell', 'ipad']",2,apple
41,"['hootsuite', 'hootsuite', 'mobile', 'for', 'sxsw', 'update', 'for', 'iphone', 'blackberry', 'amp', 'android', 'whether', 'youыєre', 'getting', 'friend', 'link']",1,apple
42,"['hey', 'sxsw', 'how', 'long', 'do', 'you', 'think', 'it', 'take', 'u', 'to', 'make', 'an', 'iphone', 'case', 'answer', 'mention', 'using', 'zazzlesxsw', 'and', 'weыєll', 'make', 'you', 'one']",1,apple
43,"['mashable', 'the', 'ipad', 'take', 'over', 'sxsw', 'video', 'ipad', 'sxsw', 'gadget', 'link']",1,apple
44,"['for', 'ipad', 'rt', 'mention', 'new', 'ubersocial', 'for', 'iphone', 'now', 'in', 'the', 'app', 'store', 'includes', 'uberguide', 'to', 'sxsw', 'sponsored', 'by', 'link']",1,apple
45,"['ipad', 's', 'ычsmartcoverыє', 'open', 'to', 'instant', 'access', 'i', 'should', 'have', 'waited', 'to', 'get', 'one', 'link', 'apple', 'sxsw']",2,apple
46,"['handheld', 'ычhoboыє', 'drafthouse', 'launch', 'ычhobo', 'with', 'a', 'shotgunыє', 'iphone', 'app', 'sxsw', 'link']",2,apple
47,"['hooray', 'rt', 'ыпmention', 'apple', 'is', 'opening', 'a', 'popup', 'store', 'in', 'austin', 'for', 'sxsw', 'mention', 'link']",2,apple
48,"['orly', 'ыпmention', 'google', 'set', 'to', 'launch', 'new', 'social', 'network', 'circle', 'today', 'at', 'sxswыќ']",1,google
49,"['wooooo', 'ыпmention', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxswыќ']",2,apple
50,"['khoi', 'vinh', 'mention', 'say', 'conde', 'nast', 'headlong', 'rush', 'into', 'ipad', 'publishing', 'wa', 'a', 'quotfundamental', 'misunderstandingquot', 'of', 'the', 'platform', 'sxsw']",1,apple
54,"['ыпmention', 'mention', 'google', 'will', 'connect', 'the', 'digital', 'amp', 'physical', 'world', 'through', 'mobile', 'link', 'sxswыќ', 'mention']",1,google
55,"['ыпmention', 'mention', 'talking', 'about', 'link', 'google', 'effort', 'to', 'allow', 'user', 'to', 'have', 'open', 'system', 'bettercloud', 'sxswыќ']",2,google
56,"['link', 'rt', 'mention', 'quotgoogle', 'before', 'you', 'tweetquot', 'is', 'the', 'new', 'quotthink', 'before', 'you', 'speakquot', 'mark', 'belinsky', 'tweet', 'panel', 'at', 'sxsw']",1,google
57,"['link', 'rt', 'mention', 'st', 'stop', 'on', 'the', 'sxsw', 'chaos', 'amp', 'mention', 'hunt', 'austin', 'java', 'get', 'in', 'the', 'spy', 'game', 'a', 'chance', 'win', 'an', 'ipad']",2,apple
58,"['link', 'rt', 'mention', 'those', 'at', 'sxsw', 'check', 'out', 'the', 'holler', 'gram', 'ipad', 'app', 'from', 'mention', 'link']",1,apple
59,"['mention', 'mention', 'amp', 'mention', 'having', 'fun', 'at', 'google', 'pic', 'sxsw', 'link']",1,google
60,"['quotvia', 'mention', 'link', 'guy', 'kawasaki', 'talk', 'enchanted', 'at', 'sxsw', 'he', 'know', 'his', 'stuff', 'book', 'internet', 'apple', 'sxsw', 'quot']",1,apple
61,"['futuremf', 'mention', 'link', 'spec', 'for', 'recipe', 'on', 'the', 'web', 'now', 'in', 'google', 'search', 'link', 'sxsw']",1,google
62,"['omfg', 'rt', 'mention', 'heard', 'about', 'apple', 'popup', 'store', 'in', 'downtown', 'austin', 'pic', 'are', 'already', 'on', 'gowalla', 'link', 'sxsw', 'ipad']",2,apple
63,"['smile', 'rt', 'mention', 'i', 'think', 'apple', 'quotpopup', 'storequot', 'in', 'austin', 'would', 'be', 'a', 'lot', 'more', 'interesting', 'if', 'it', 'actually', 'you', 'know', 'popped', 'up', 'sxsw']",1,apple
64,"['again', 'rt', 'mention', 'line', 'at', 'the', 'apple', 'store', 'is', 'insane', 'sxsw']",0,apple
65,"['agree', 'rt', 'mention', 'wait', 'fiona', 'apple', 'is', 'in', 'town', 'somebody', 'kidnap', 'her', 'and', 'put', 'her', 'in', 'a', 'recording', 'studio', 'until', 'she', 'record', 'a', 'new', 'album', 'sxsw']",1,apple
67,"['attending', 'mention', 'ipad', 'design', 'headache', 'sxsw', 'link']",0,apple
68,"['boooo', 'rt', 'mention', 'flipboard', 'is', 'developing', 'an', 'iphone', 'version', 'not', 'android', 'say', 'mention', 'sxsw']",0,apple
69,"['check', 'out', 'mention', 'mention', 'amp', 'mention', 'in', 'line', 'for', 'their', 'ipad', 'in', 'austin', 'power', 'to', 'them', 'sxswi', 'sxsw', 'link']",2,apple
70,"['check', 'rt', 'mention', 'giving', 'added', 'value', 'to', 'location', 'based', 'service', 'need', 'to', 'battle', 'checkin', 'fatigue', 'google', 'pnid', 'sxsw']",1,google
72,"['do', 'it', 'rt', 'mention', 'come', 'party', 'w', 'google', 'tonight', 'at', 'sxsw', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",2,google
74,"['haha', 'rt', 'mention', 'sxsw', 'news', 'yahoocom', 'is', 'loosing', 'search', 'traffic', 'to', 'new', 'site', 'googlecom', 'doubt', 'it', 'will', 'last', 'tho', 'w', 'that', 'weird', 'name']",1,google
75,"['holla', 'rt', 'mention', 'at', 'google', 'party', 'best', 'ever', 'get', 'your', 'butt', 'over', 'here', 'sxsw']",2,google
76,"['i', 'love', 'my', 'mention', 'iphone', 'case', 'from', 'sxsw', 'but', 'i', 'cant', 'get', 'my', 'phone', 'out', 'of', 'it', 'fail']",2,apple
78,"['ipad', 'rt', 'mention', 'droid', 'amp', 'mac', 'here', 'rt', 'mention', 'my', 'agnerd', 'confession', 'using', 'laptop', 'ipad', 'amp', 'blackberry', 'to', 'follow', 'sxsw']",1,apple
80,"['new', 'post', 'mention', 'iphone', 'app', 'make', 'it', 'easy', 'to', 'connect', 'on', 'all', 'social', 'network', 'with', 'people', 'you', 'meet', 'link', 'sxsw']",2,apple
81,"['nice', 'that', 'mention', 'iphone', 'app', 'is', 'behaving', 'today', 'crash', 'yesterday', 'were', 'ridiculous', 'sxsw']",2,apple
82,"['nice', 'rt', 'mention', 'apple', 'opening', 'popup', 'store', 'for', 'ipad', 'launch', 'in', 'downtown', 'austin', 'during', 'sxsw', 'link', 'via', 'mention']",1,apple
83,"['nice', 'rt', 'mention', 'hey', 'apple', 'fan', 'get', 'a', 'peek', 'at', 'the', 'space', 'thats', 'slated', 'to', 'be', 'a', 'popup', 'sxsw', 'apple', 'store', 'tomorrow', 'link']",2,apple
84,"['one', 'thing', 'mention', 'is', 'doing', 'so', 'great', 'is', 'get', 'a', 'great', 'down', 'to', 'earth', 'face', 'to', 'google', 'a', 'a', 'company', 'you', 'can', 'only', 'love', 'her', 'sxsw', 'sxwsi']",2,google
89,"['thanks', 'to', 'mention', 'for', 'her', 'mention', 'of', 'our', 'new', 'speech', 'ipad', 'apps', 'being', 'showcased', 'at', 'the', 'sxsw', 'conf', 'link', 'sxswh', 'sxsh']",2,apple
92,"['what', 'mention', 'sxsw', 'doe', 'not', 'provide', 'iphone', 'charger', 'ive', 'changed', 'my', 'mind', 'about', 'going', 'next', 'year']",0,apple
93,"['wonder', 'if', 'mention', 'amp', 'mention', 'will', 'be', 'in', 'the', 'apple', 'flashmob', 'tcrnchfcsj', 'sxsw', 'ipad']",1,apple
95,"['xmas', 'rt', 'mention', 'shiny', 'new', 'mention', 'mention', 'mention', 'apps', 'a', 'new', 'garyvee', 'book', 'popup', 'ipad', 'store', 'sxsw', 'is', 'christmas', 'for', 'nerd']",2,apple
96,"['yai', 'rt', 'mention', 'new', 'ubersocial', 'for', 'iphone', 'now', 'in', 'the', 'app', 'store', 'includes', 'uberguide', 'to', 'sxsw', 'sponsored', 'by', 'cont', 'link']",2,apple
98,"['fast', 'fun', 'amp', 'future', 'mention', 'of', 'google', 'presenting', 'at', 'sxsw', 'on', 'search', 'local', 'and', 'mobile']",2,google
99,"['gsdampm', 'amp', 'google', 'industry', 'party', 'tonight', 'mention', 'see', 'u', 'there', 'link', 'sxsw', 'austin', 'welivehere', 'gsdm']",1,google
100,"['new', 'buzz', 'quotmention', 'google', 'to', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'link', 'rt', 'mention', 'sxswquot']",1,google
101,"['headline', 'quotipad', 'is', 'the', 'musthave', 'gadget', 'at', 'sxswquot', 'hmm', 'i', 'could', 'have', 'seen', 'that', 'one', 'coming', 'link', 'gadget']",2,apple
103,"['know', 'that', 'quotdatavizquot', 'translates', 'to', 'quotsatanicquot', 'on', 'an', 'iphone', 'im', 'just', 'sayin', 'sxsw']",0,apple
104,"['mention', 'quotgoogle', 'launched', 'checkins', 'a', 'month', 'agoquot', 'check', 'in', 'are', 'ok', 'but', 'check', 'out', 'are', 'the', 'future', 'sxsw', 'bizzy']",2,google
105,"['mention', 'quotgoogle', 'launched', 'checkins', 'a', 'month', 'agoquot', 'check', 'in', 'are', 'ok', 'but', 'check', 'out', 'are', 'the', 'future', 'sxsw', 'bizzy', 'via', 'mention']",1,google
106,"['ыпmention', 'quotgoogle', 'before', 'you', 'tweetquot', 'is', 'the', 'new', 'quotthink', 'before', 'you', 'speakquot', 'mark', 'belinsky', 'tweet', 'panel', 'at', 'sxswыќ']",2,google
107,"['attending', 'quotleft', 'brain', 'search', 'google', 'right', 'brain', 'search', 'xquot', 'bettersearch', 'talking', 'about', 'the', 'future', 'of', 'search', 'engine', 'at', 'sxsw']",1,google
108,"['hp', 'open', 'quotmobile', 'parkquot', 'amp', 'content', 'incubator', 'at', 'sxsw', 'link', 'apple', 'construct', 'quotpopupquot', 'store', 'link']",1,apple
109,"['kawasaki', 'quotnot', 'c', 'lewis', 'level', 'reasoning', 'but', 'apple', 'continued', 'existence', 'is', 'evidence', 'for', 'the', 'existence', 'of', 'godquot', 'bawling', 'sxsw']",2,apple
110,"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'those', 'were', 'the', 'day', 'sxsw', 'jwtatl', 'enchantment']",1,apple
111,"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'those', 'were', 'the', 'day', 'sxsw', 'jwtatl', 'enchantment', 'via', 'mention']",2,apple
112,"['spark', 'for', 'android', 'is', 'up', 'for', 'a', 'teamandroid', 'award', 'at', 'sxsw', 'read', 'about', 'it', 'here', 'link']",2,google
113,"['unboxing', 'apple', 'sxsw', 'mention', 'apple', 'store', 'sxsw', 'link']",1,apple
114,"['sxsw', 'and', 'apple', 'ipad', 's', 'are', 'great', 'but', 'thought', 'are', 'w', 'japan', 'and', 'apac', 'region', 'dealing', 'w', 'earthquake', 'amp', 'tsunami', 'trauma', 'sxswi']",2,apple
115,"['at', 'sxsw', 'apple', 'school', 'the', 'marketing', 'expert', 'sxsw', 'cnet', 'blog', 'link']",1,apple
116,"['at', 'sxsw', 'apple', 'school', 'the', 'marketing', 'expert', 'link']",2,apple
117,"['at', 'sxsw', 'apple', 'school', 'the', 'marketing', 'expert', 'link']",1,apple
118,"['temporary', 'apple', 'store', 'is', 'def', 'not', 'a', 'tent', 'it', 'a', 'powerhouse', 'gym', 'sxsw', 'link']",2,apple
119,"['temporary', 'apple', 'store', 'on', 'th', 'and', 'congress', 'for', 'sxsw', 'along', 'with', 'very', 'happy', 'hipster']",2,apple
120,"['ыпmention', 'apple', 'win', 'sxsw', 'link', 'opening', 'a', 'temporary', 'store', 'in', 'downtown', 'austin', 'to', 'support', 'ipad', 'launch', 'that', 'is', 'good']",2,apple
121,"['ipad', 'and', 'austin', 'are', 'trending', 'today', 'have', 'fun', 'at', 'sxsw', 'all', 'you', 'nerdy', 'nerd']",2,apple
123,"['funny', 'how', 'austin', 'is', 'trending', 'but', 'not', 'sxsw', 'only', 'a', 'matter', 'of', 'minute', 'at', 'this', 'point', 'at', 'least', 'according', 'to', 'twitter', 'for', 'iphone']",1,apple
124,"['christian', 'ipad', 'iphone', 'devs', 'i', 'want', 'to', 'talk', 'to', 'u', 'at', 'sxsw', 'or', 'after', 'maybe', 'we', 'can', 'wk', 'together', 'on', 'cool', 'app', 'mention', 'me']",2,apple
125,"['sxsw', 'ux', 'ipad', 'uxdes', 'remember', 'to', 'ultimately', 'be', 'aware', 'of', 'the', 'audience', 'your', 'app', 'is', 'targeted', 'towards', 'an', 'unexpected', 'experience', 'can', 'be', 'good']",1,apple
126,"['the', 'apple', 'ipad', 'ha', 'taken', 'sxsw', 'and', 'austin', 'by', 'storm', 'link', 'mention', 'excited', 'to', 'a', 'be', 'a', 'part', 'mobile']",2,apple
127,"['i', 'can', 'haz', 'ipad', 'ifrom', 'sxsw', 'gr', 'link']",2,apple
128,"['stack', 'of', 'ipads', 'waiting', 'to', 'be', 'bought', 'at', 'sxsw', 'i', 'got', 'mine', 'no', 'hassle', 'at', 'all', 'apple', 'handled', 'this', 'perfectly', 'link']",2,apple
129,"['google', 'mobile', 'future', 'and', 'the', 'elusive', 'power', 'of', 'here', 'link', 'via', 'mention', 'eurorscg', 'sxsw', 'sxswi']",1,google
131,"['doe', 'your', 'smallbiz', 'need', 'review', 'to', 'play', 'on', 'google', 'placeswe', 'got', 'an', 'app', 'for', 'thatlink', 'seo', 'sxsw']",2,google
132,"['doe', 'your', 'smallbiz', 'need', 'review', 'to', 'play', 'on', 'google', 'placeswe', 'got', 'an', 'app', 'for', 'thatlink', 'seo', 'sxsw']",1,google
133,"['samsung', 'sony', 'follow', 'apple', 'hp', 'lead', 'mention', 'link', 'austin', 'atx', 'sxsw']",1,apple
134,"['samsung', 'sony', 'follow', 'apple', 'hp', 'lead', 'mention', 'link', 'austin', 'atx', 'sxsw', 'via', 'mention', 'rg']",1,apple
135,"['take', 'that', 'sxsw', 'rt', 'mention', 'major', 'south', 'korean', 'director', 'get', 'to', 'make', 'a', 'movie', 'entirely', 'with', 'his', 'iphone', 'link']",2,apple
136,"['beautiful', 'sxsw', 'mention', 'apple', 'store', 'sxsw', 'pic', 'link']",2,apple
137,"['q', 'wa', 'at', 'sxsw', 'sxswi', 'for', 'prep', 'amazing', 'pre', 'push', 'locally', 'focus', 'on', 'location', 'based', 'google', 'owns', 'of', 'the', 'region', 'billboard', 'prchat']",1,google
138,"['any', 'other', 'sxsw', 'account', 'i', 'need', 'to', 'follow', 'or', 'apps', 'to', 'download', 'for', 'iphone']",1,apple
139,"['headed', 'to', 'sxsw', 'and', 'want', 'to', 'sharegather', 'contact', 'info', 'link', 'can', 'turn', 'your', 'iphone', 'into', 'a', 'business', 'card', 'broadcaster']",1,apple
140,"['headed', 'to', 'sxsw', 'and', 'want', 'to', 'sharegather', 'contact', 'info', 'link', 'can', 'turn', 'your', 'iphone', 'into', 'a', 'link']",1,apple
141,"['btw', 'the', 'sxsw', 'apple', 'store', 'is', 'sold', 'out', 'of', 'all', 'g', 'model', 'vzw', 'amp', 'atampt']",1,apple
142,"['must', 'have', 'sxsw', 'app', 'rt', 'mention', 'lovely', 'review', 'from', 'forbes', 'for', 'our', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'link']",2,apple
143,"['temporary', 'sxsw', 'apple', 'store', 'apple', 'being', 'sneaky', 'a', 'usual', 'link']",2,apple
144,"['anyone', 'at', 'sxsw', 'been', 'by', 'the', 'popup', 'apple', 'store', 'in', 'austin', 'thats', 'gotta', 'be', 'a', 'hopping', 'place', 'today']",1,apple
145,"['ыпmention', 'sxsw', 'beta', 'testing', 'interactive', 'book', 'for', 'ipad', 'app', 'by', 'moonbot', 'studio', 'out', 'of', 'louisiana', 'cool', 'appыќ']",2,apple
146,"['apple', 'won', 'sxsw', 'from', 'day', 'one', 'seeing', 'a', 'ton', 'of', 'ipad']",2,apple
147,"['fastball', 'sxsw', 'giving', 'away', 'two', 'new', 'ipad', 'wifi', 'g', 'black', 'apple', 'cover', 'tweet', 'mention', 'fo', 'more', 'info', 'sxswi', 'attsxsw', 'tonight', 'mention', 'bolt', 'house']",1,apple
148,"['anyone', 'at', 'sxsw', 'had', 'a', 'chance', 'to', 'check', 'out', 'the', 'popup', 'apple', 'store', 'wondering', 'if', 'it', 'is', 'worth', 'the', 'trek', 'from', 'the', 'convention', 'center']",1,apple
149,"['ыпmention', 'sxsw', 'ipad', 'store', 'sold', 'out', 'of', 'everything', 'except', 'gig', 'wifi', 'only', 'whiteыќ', 'mention', 'did', 'you', 'manage', 'to', 'get', 'yours']",2,apple
150,"['ыпmention', 'sxsw', 'ipad', 'store', 'sold', 'out', 'of', 'everything', 'except', 'gig', 'wifi', 'only', 'whiteыќ', 'also', 'known', 'a', 'the', 'white', 'jean', 'configuration']",2,apple
151,"['offered', 'a', 'sxsw', 'ipad', 'promo', 'to', 'ninjafinder', 'user', 'and', 'fan', 'who', 'are', 'not', 'here', 'at', 'sxsw', 'suck', 'to', 'not', 'be', 'here', 'sxsw']",2,apple
152,"['mention', 'sxsw', 'is', 'an', 'austin', 'conference', 'do', 'a', 'google', 'search', 'they', 'have', 'interactive', 'music', 'film']",1,google
153,"['anyone', 'at', 'sxsw', 'know', 'if', 'apple', 'will', 'be', 'or', 'is', 'selling', 'ipad', 'there']",1,apple
154,"['anyone', 'at', 'sxsw', 'know', 'if', 'the', 'apple', 'store', 'ha', 'had', 'a', 'new', 'shipment', 'of', 'ipads', 'yet']",1,apple
155,"['marc', 'ecko', 'sxsw', 'launch', 'iphone', 'app', 'to', 'autodial', 'political', 'change', 'link', 'edreform', 'edtech', 'eduvc', 'fightthepaddle']",1,apple
156,"['poursite', 'sxsw', 'learning', 'about', 'the', 'lifechanging', 'impact', 'of', 'the', 'ipad', 'on', 'real', 'people', 'actual', 'life', 'bravo']",2,apple
157,"['mention', 'sxsw', 'lonelyplanet', 'austin', 'guide', 'for', 'iphone', 'is', 'free', 'for', 'a', 'limited', 'time', 'link', 'lp', 'travel']",2,apple
159,"['anyone', 'at', 'sxsw', 'or', 'heading', 'to', 'aclu', 'event', 'seen', 'owt', 'to', 'do', 'with', 'google', 'circle', 'then']",1,google
160,"['mention', 'sxsw', 'prompt', 'for', 'memory', 'go', 'to', 'google', 'map', 'and', 'describe', 'a', 'childhood', 'walk']",1,google
161,"['the', 'apple', 'sxsw', 'store', 'still', 'ha', 'ipad', 's', 'and', 'short', 'line']",2,apple
163,"['just', 'left', 'sxsw', 'tradeshow', 'demo', 'of', 'mention', 'at', 'the', 'google', 'theatre', 'ok', 'i', 'get', 'it', 'i', 'see', 'why', 'all', 'the', 'presenter', 'here', 'are', 'using', 'it']",2,google
164,"['following', 'sxsw', 'tweet', 'on', 'google', 'realtime', 'four', 'platform', 'on', 'tweet', 'deck', 'and', 'listening', 'to', 'panel', 'realizing', 'im', 'spoken', 'to', 'no', 'one', 'here', 'today']",1,google
165,"['anyone', 'at', 'sxsw', 'want', 'an', 'ipad', 'im', 'in', 'line', 'and', 'will', 'pick', 'one', 'up', 'for', 'someone', 'willing', 'to', 'pay', 'me', 'for', 'me', 'to', 'grab', 'for', 'you']",1,apple
166,"['anyone', 'at', 'sxsw', 'want', 'to', 'make', 'a', 'quick', 'hundred', 'dollar', 'new', 'ipad', 'from', 'ad', 'hoc', 'apple', 'store', 'here', 'get', 'hundred', 'plus', 'cost']",2,apple
167,"['solving', 'a', 'sxswinduced', 'iphoneintoilet', 'crisis', 'at', 'apple', 'store', 'with', 'mention', 'not', 'my', 'crisis', 'for', 'once']",1,apple
168,"['monday', 'at', 'sxsw', 'barry', 'diller', 'new', 'york', 'time', 'congress', 'lunch', 'w', 'hotel', 'party', 'google', 'party', 'six', 'dirty', 'martini', 'how', 'monday', 'should', 'be']",2,google
170,"['seriously', 'sxsw', 'did', 'you', 'do', 'any', 'testing', 'on', 'the', 'mobile', 'apps', 'constant', 'ipad', 'crash', 'causing', 'lost', 'schedule', 'and', 'no', 'sync', 'for', 'wp']",0,apple
171,"['ready', 'for', 'sxsw', 'here', 'are', 'some', 'iphone', 'apps', 'make', 'ur', 'blogging', 'easier', 'link', 'sxsw', 'sxswi']",2,apple
172,"['ipad', 'and', 'sxswa', 'conflagration', 'of', 'doofusness', 'link']",0,apple
